,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
3962,Maruti Swift,Maruti,ZXI ,2013,Manual,62613,1,Petrol,70299,462,Zero downpayment,Pune,Maharashtra
3963,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,41654,1,Petrol,28799,987,Zero downpayment,Pune,Maharashtra
3964,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,66090,1,Petrol,86299,593,Zero downpayment,Pune,Maharashtra
3965,Maruti S Cross,Maruti,ZETA 1.3 SHVS ,2018,Manual,58448,2,Diesel,92299,849,Zero downpayment,Pune,Maharashtra
3966,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2018,Manual,25416,2,Petrol,58199,641,Zero downpayment,Pune,Maharashtra
3967,MG HECTOR,MG,SHARP DCT PETROL ,2020,Automatic,24887,1,Petrol,72799,659,Zero downpayment,Pune,Maharashtra
3968,Volkswagen Vento,Volkswagen,HIGHLINE TDI AT ,2017,Automatic,95513,1,Diesel,23499,94,Zero downpayment,Pune,Maharashtra
3969,Hyundai Grand i10,Hyundai,STA 1.2 (O) VTVT ,2015,Manual,84105,1,Petrol,29699,558,Zero downpayment,Pune,Maharashtra
3970,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2018,Manual,10176,1,Petrol,28699,210,Zero downpayment,Pune,Maharashtra
3971,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2015,Manual,58570,1,Petrol,13299,194,Zero downpayment,Pune,Maharashtra
3972,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2018,Manual,19775,1,Petrol,42199,510,Zero downpayment,Pune,Maharashtra
3973,Maruti Vitara Brezza,Maruti,ZDI+ DUAL TONE AMT ,2018,Automatic,38175,1,Diesel,29799,683,Zero downpayment,Pune,Maharashtra
3974,Maruti Vitara Brezza,Maruti,VDI OPT ,2018,Manual,45490,1,Diesel,12899,82,Zero downpayment,Pune,Maharashtra
